rider_name,velocategory,veloscore,zwift_id,team,team_color,team_bg,stage1_time,stage1_veloscore,stage1_velocategory,stage2_time,stage2_veloscore,stage2_velocategory,stage3_time,stage3_veloscore,stage3_velocategory,stage4_time,stage4_veloscore,stage4_velocategory,stage5_time,stage5_veloscore,stage5_velocategory,gc_time
Coach lak (TNP),2,2092,5023963,Team Not Pogi,ff0000,ffffff,00:33:33,2074,2,00:53:00,2064,2,00:17:09,2081,2,01:21:13,2092,2,-,-,-,03:04:55
Morten Kallevig [V],2,1926,5211698,Vikings,c2c2c2,0073b7,00:33:34,1926,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:34
Jack  Matthews,2,2177,149551,-,00dd00,,00:33:34,2177,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:34
William Smith (RollCo/TNP),3,1859,7053041,Team Not Pogi,ff0000,ffffff,00:33:35,1845,3,00:50:36,1849,3,00:17:39,1863,3,01:28:05,1859,3,-,-,-,03:09:55
Marcel Hies,2,1991,859376,LEVEL Esports,ffffff,5ce409,00:33:36,1991,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:36
Aled Jones,1,2289,5893609,Team Not Pogi,ff0000,ffffff,00:37:39,2250,1,00:48:56,2265,1,00:15:57,2280,1,01:19:25,2289,1,-,-,-,03:01:57
Chris Cayford,2,2069,2802797,Team Velos,b2ffff,002fa7,00:33:00,2069,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:00
Thomas Mutz,3,1737,5139632,-,00dd00,,00:33:33,1640,4,00:50:36,1674,3,00:17:47,1676,3,01:23:05,1737,3,-,-,-,03:05:01
Sem VH,3,1741,5877680,COERS,ebeb00,051826,00:33:34,1727,3,00:48:58,1731,3,00:17:34,1729,3,01:22:37,1741,3,-,-,-,03:02:43
Rob Wainwright  (Corona Zwifters),3,1856,399027,Corona Zwifters,ffffff,0073b7,00:33:34,1856,3,-,-,-,-,-,-,-,-,-,-,-,-,00:33:34
Erlend Olsen,3,1685,165731,BAB,0e036f,fc0000,00:34:11,1685,3,-,-,-,-,-,-,-,-,-,-,-,-,00:34:11
kristian Mikkelsen,3,1681,1090073,CK 2020,00beed,033081,00:34:16,1681,3,-,-,-,-,-,-,-,-,-,-,-,-,00:34:16
Niclas M&aelig;hle (TNP),3,1780,6896224,Team Not Pogi,ff0000,ffffff,00:34:44,1780,3,-,-,-,-,-,-,-,-,-,-,-,-,00:34:44
ben dart,4,1593,386045,-,00dd00,,00:35:17,1593,4,-,-,-,-,-,-,-,-,-,-,-,-,00:35:17
Adam Britton,4,1616,7053189,DIRT,29ec34,211208,00:35:42,1616,4,-,-,-,-,-,-,-,-,-,-,-,-,00:35:42
Greg Doucette bodybuilder,3,1764,616484,HTLT,f3f300,000000,00:36:43,1732,3,-,-,-,00:19:48,1764,3,-,-,-,-,-,-,00:56:31
